new_id,title,text,source,label
fake_1,重庆公交与轿车相撞坠江 系轿车车主驾车逆行导致,"据新京报记者从万州区应急办获悉，大巴车坠江前曾与一小轿车发生相撞，系一小轿车女车主驾车逆行导致。

（记者张熙廷）今天（10月28日）上午，重庆市万州区长江二桥发生重大交通事故。12时许，新京报记者从万州区应急办获悉，大巴车坠江前曾与一小轿车发生相撞，系一小轿车女车主驾车逆行导致，目前相关部门正全力搜救。

最新消息：

【重庆大巴车坠江目前已打捞出两名遇难人员遗体】记者从重庆市公安局万州分局和长航公安局万州分局获悉，目前现场已打捞出在重庆万州长江二桥公交车坠入长江事故中遇难的两名人员的遗体。

此外，记者从重庆市万州区应急办了解到，现已确定事发时间为28日上午10时左右，从长江二桥冲下坠江的公交车已确定为一辆当地22路公交汽车，车载人数尚待核实。

目前，相关部门已经确定车辆沉入江底，正在组织相关打捞救援。(中央广播电视总台央视新闻)。",https://weibo.com/ttarticle/p/show?id=2309404300120509303737,1
fake_2,重庆公交车坠江已致2死，事发前轿车女车主逆行,"今日10时许，重庆市万州区一大巴车在万州长江二桥桥面与小轿车发生碰撞后，大巴车坠入江中。记者从重庆市公安局万州分局和长江航运公安局万州分局获悉，目前现场已打捞出在重庆万州长江二桥公交车坠入长江事故中遇难的两名人员的遗体。当天稍早时候，重庆市万州区应急办值班人员告诉澎湃新闻，据交警部门】传来的信息，长江二桥事故中，22路公交车与红色小轿车相撞后坠江。事故发生前，轿车女车主驾车逆行。公交车内人数目前尚未确定。#坠江事故女司机# #重庆大巴车坠江#口I环球网的秒拍视频。
",环球网 10-28 15:37,1
fake_3,,"大巴车坠江前曾与一小轿车发生相撞，系私家车女司机邝某娟驾车逆行导致。据重庆市公安部门称，现已确定事发时间为28日，上午10时左右，从长江二桥冲下坠江的公交车已确定为一辆当地22路公交汽车。另据周围某学校学生介绍，发生坠江事故的公交线路是该校不少学生周末出行的主要交通方式，事故发生后，学校已经安排老师到各个班级核查学生人数，“学校离事发地不是很远，现在正在统计人数，具体车上有没有我们学校的，还不清楚。
",新浪新闻 新京报、央视,1
fake_4,,"【直击#重庆大巴车坠江#现场:逆行女司机被控制遇难者家属抱遗体痛哭...10月28日.上午10时左右，重庆万州区。- -公交车与私家车碰撞后坠江。据万州区交巡警支队通报，事故由私家车逆行导致，女司机邝某娟已被警方控制。目前，相关部门已经确定车辆沉入江底，正在组织相关打捞救援。C燃新闻的秒拍视频。
",中国警察网 10-28 17:05,1
fake_5,,"【鲸视烦:区政府回应重庆大巴车坠入长江州系小车逆行与大巴发生碰撞】 10月28日上午，重庆万州区长江二桥上发生-起交通事故 -辆大巴车与一辆轿车相撞后冲破护栏掉入长江。万州区政府回应称确有此事系小车逆行与大巴车发生碰撞导致目前已组织全力教理，伤亡情况不明。。 0EVide的形拍规频。
",蓝鲸财经记者工作平台 10-28 14:12,1
fake_6,,"万州区政府回应称系小车逆行与大巴车发生碰撞导致,据万州区交巡警支队通报，私家车女司机邝某娟已被警方控制。//@燕赵都市报: 【 已打捞出2名人员遗体，坠江公交车已沉入江底】据央视，目前现场已打捞出两名人员遗体。车辆实载人数尚待核实。目前，相关部门已确定车辆沉入江底，正在组织相关打捞救援。
",燕赵都市报 10-28,1
fake_7,,"关注重庆公交坠江事件# 【直击#重庆大巴车坠江#现场:逆行女司机被控制遇难者家属抱遗体痛哭..】」10月28日 上午10时左右，重庆万州区。-公交车与私家车碰撞后坠江。据万州区交巡警支队通报，事故由私家车逆行导致，司机邝某娟已被警方控制。目前，相关部门已经确定车辆沉入江底，正在组织相关打捞救援。祈祷人AA C新浪视频的秒拍视频◎杭州.下沙街区。
",杭州下沙租房通 10-28 17:37,1
fake_8,重庆公交与逆行轿车相撞坠江已捞出两具遗体 轿车女司机已被控制,"新华社重庆10月28日电（记者陈国洲、韩振）记者从重庆市公安局万州分局和长航公安局万州分局获悉，目前现场已打捞出在重庆万州长江二桥公交车坠入长江事故中遇难的两名人员的遗体。
图为万州长江二桥栏杆破损。

记者从重庆市公安部门获悉，现已确定事发时间为28日上午10时左右，从长江二桥冲下坠江的公交车已确定为一辆当地22路公交汽车。
据新京报讯（记者 张熙廷）今天（10月28日）上午，重庆市万州区长江二桥发生重大交通事故。12时许，新京报记者从万州区应急办获悉，公交车坠江前曾与一小轿车发生相撞，系一小轿车女车主驾车逆行导致，目前相关部门正全力搜救。
另据封面新闻消息（记者梁波）10月28日，重庆万州区发生一起致公交车与私家车碰撞，公交车坠江的道路交通事故。据万州区交巡警支队通报，私家车女司机邝某娟已被警方控制。

目前，相关部门已确定车辆沉入江底，正在组织相关打捞救援。",百度新闻 https://mbd.baidu.com/newspage/data/landingsuper?context=%7B%22nid%22%3A%22news_8360540869334883420%22%7D&n_type=-1&p_from=-1,1
fake_9,,"【重庆一公交与逆行轿车相撞后坠江女司机被控制动画示意路线图】 28日.上午10时许，重庆万州区长江二_桥一-22路公交车与一辆逆行私家车相撞，后公交车坠江。目前私家车女司机邝某娟已被警方控制。截至14时，已打捞出两名人员遗体。现场参与救援的蓝天救援队骆队长表示，事发桥面离水面有50余米，公交车坠江后又沉入65米深的江底。目前政府正组织救援。. (综合) #重庆大巴车坠江##重庆坠江22路公交车# @新京报c新京报动新闻的秒拍视频。
",新京报动新闻 10-28 17:48,1
fake_10,,"【重庆公交坠江原因:系小车逆行与大巴碰撞涉事女司机已被控制】 10月28日. 上午，重庆万州区长江二桥上发生一起交通事故，-辆大巴车与一~辆轿车相撞后,冲破护栏掉入长江。万州区政府回应:确有此事，系小车逆行与大巴车发生碰撞导致，目前已组织全力救援，伤亡情况不明。据万州区交巡警支队通报，私家车女司机邝某娟已被警方控制。《网页链接C1长沙晚报的秒拍视频。
",长沙晚报 10-28 14:40,1
fake_11,女司机逆行，公交车紧急避让坠入江中，你对此事怎么看,#重庆公交车坠江事故# #重庆大巴车坠江# 今日10时许，重庆市万州区一大巴车在万州长江二桥桥面与小轿车发生碰撞后，大巴车坠入江中，目前现场已打捞出在重庆万州长江二桥公交车坠入长江事故中遇难的两名人员的遗体。据交警部门传来的信息，长江二桥事故中，22路公交车与红色小轿车相撞后坠江。事故发生前，轿车女车主驾车逆行。公交车内人数目前尚未确定。逆行到底有多可怕，你对此事怎么看呢？,微博话题问答 https://weibo.com/p/2313474300131863261576/wenda_home,1
fake_12,,"重庆万州一大巴车坠江，或系一女司机驾驶私家车逆行导致
据重庆青年报消息，28日上午，重庆市万州区长江二桥发生重大交通事故，-辆大巴车被撞后冲破护栏坠入长江，疑有重大伤亡。目前,政府正在组织救援。据传，事故系一女司机驾驶的红色私家车桥上逆行所致。
",滚动|警方通报重庆大巴车坠江原因 11-28 11:40,1
fake_13,,#重庆大巴车坠江# 今天（28日）10时许，重庆市万州区一公交车在万州长江二桥桥面与小轿车发生碰撞后，公交车坠入江中。据说，该事故是因为一辆小轿车的女司机逆行所致，该女车主没有任何生命危险，公交车伤员未定。截至28日15时，事故现场已打捞出遇难的两名人员的遗体。记者从重庆市万州区应急办了解到，坠江的公交车已确定为一辆当地22路公交汽车，车载人数尚待核实。目前，相关部门已经确定车辆沉入江底，正在组织相关打捞救援。让我们祝愿生存者越多越好，为不幸遇难者默哀。,王兮兮 10-28 17:42,1
fake_14,,"#重庆大巴车坠江#重庆青年报消息，今（28）日上午，重庆市万州区长江二桥发生重大交通事故，一辆大巴车被撞后冲破护栏坠入长江。目前，政府正在组织救援。据传，事故系一女司机驾驶的红色私家车桥上逆行所致。从重庆市公安部门获悉，现已确定事发时间为28日上午10时左右，从长江二桥冲下坠江的公交车已确定为一辆当地22路公交汽车。
截至下午14时，现场已打捞出两2人员遗体。车辆实载人数尚待核实。目前，相关部门已确定车辆沉入江底，正在组织相关打捞救援。",往事随风飘逝 10-28 17:44,1
fake_15,,#重庆大巴车坠江# 今天10时许，重庆市万州区一公交车在万州长江二桥桥面与小轿车发生碰撞后，公交车坠入江中。据万州区交巡警支队通报，事故由私家车逆行导致，女司机已被警方控制。车辆已确定沉入江底，相关部门正在打捞救援。武警官兵正在救援现场开展搜救工作，蛙人准备就绪。,脚踏七星揽明月 10-28 17:50,1
fake_16,,据交警部门传来的信息，长江二桥事故中，22路公交车与红色小轿车相撞后坠江。事故发生前，轿车女车主驾车逆行。公交车内人数目前尚未确定。 另据救援专家、北京平澜公益基金会负责人王英颉披露，据现场救援人员传回的消息，利用强磁定位等方法，重庆万州长江二桥坠江公交车在水下的位置已经确定，目前正在等待开展固定打捞工作。,秋水寒而长天尚温 10-28 17:51,1
fake_17,大巴车坠江原因：女司机逆行！,"记者从重庆市公安局万州分局和长江航运公安局万州分局获悉，目前现场已打捞出在重庆万州长江二桥公交车坠入长江事故中遇难的两名人员的遗体。
下午13:50左右，重庆市万州区交巡警支队工作人员告诉澎湃新闻，长江二桥事故现场周边区域已经实施交通管制，长江二桥不能通行，但江面继续通航。

当天稍早时候，重庆市万州区应急办值班人员告诉澎湃新闻，据交警部门传来的信息，长江二桥事故中，22路公交车与红色小轿车相撞后坠江。事故发生前，轿车女车主驾车逆行。公交车内人数目前尚未确定。另据《华西都市报》消息，万州区交巡警支队通报，私家车女司机邝某娟已被警方控制。
另据救援专家、北京平澜公益基金会负责人王英颉披露，据现场救援人员传回的消息，利用强磁定位等方法，重庆万州长江二桥坠江公交车在水下的位置已经确定，目前正在等待开展固定打捞工作。

目前，公安、海事等部门正全力搜救。",新浪军事 环球网 http://mil.news.sina.com.cn/2018-10-28/doc-ihnaivxp8342889.shtml,1
fake_18,重庆公交坠江：车辆逆行，生命被22的青春撞了下腰,"据新华社报道称，2018年10月28日10时08分，重庆万州区发生一起公交车与私家车碰撞后公交车坠江的道路交通事故。目前，涉事小轿车驾驶员已被警方控制，在医院医治，并无大碍。截至当天13点，现场已打捞出两名人员遗体。
各方媒体通过相关部门获悉，该22路公交车（车内人数待查）由万州区江南新区往北滨路行驶，当车行驶至万州长江二桥桥上时，与一辆由城区往江南新区逆行行驶的小型轿车（车内只有驾驶员）相撞，造成公交车失控冲破护栏坠入长江，小型轿车车辆受损。

公交车坠入长江后，相关部门正在积极搜救。车内核载人数尚不明了，让人揪心，善良的人们在祈祷着，希望真诚可以换来少些伤亡。
这起事故，也许是大巴司机操作不当，是坠江的直接原因，但是为了避让逆行的私家车女司机，却是事故最主要的原因。

22岁，也许是一个人风华正茂的年纪，代表着活力和希望，让我们怀念。当我们被青春撞了一下腰时，我们有过刻骨铭心，但是有些人，却因为22路，却永远失去了生命的青春，而这起生命的悲歌，是缘自逆行。
也许肇事车主，在医院里躺着，只是一场虚惊，但是已经失去生命的人，因为她的一次有意或者无意的逆行，却永远失去了生命，我们不禁要问下，她的余生，真的不会因为这个而愧疚，还能有好梦安眠？

车辆的逆行、违反交通规则，视规则如风，视人命为草芥，这是漠视生命、毫无责任和道德泯灭的人儿啊，势必会受到道德谴责和法律的制裁！",网易号 生活斋志 https://www.163.com/dy/article/DV7LM87805454CXF.html,1
